3	2	1	0	0	0	2	1	506	17	15	108	107	105	20	128	121	122	119	120	129	130	13	9	12	10	11	14	124	123	19	506	506
2	2	1	100	100	100	2	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2	100
2	2	2	101	101	101	2	2	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	2	101
3	102	102	102	102	102	102	102	4	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102
5	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500
5	103	103	103	103	103	6	6	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103
8	501	501	501	501	501	501	501	501	501	501	501	501	7	7	501	501	501	501	501	501	501	501	501	501	501	501	501	501	501	501	501	501
8	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502
8	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104
109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	110	109	109	109	109	109	109	109	109	109
111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	112	111	111	111	111	111	111	111	111	111
113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	114	113	113	113	113	113	113	113	113	113
116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	115	116	116	116	116	116	116	116	116	116
503	503	503	503	503	503	503	503	503	503	503	503	503	503	503	503	503	503	503	503	503	503	117	503	503	503	503	503	503	503	503	503	503
504	504	504	504	504	504	504	504	504	504	504	504	504	504	504	504	504	504	504	504	504	504	504	504	504	504	504	118	504	504	504	504	504
16	16	16	16	16	16	16	16	16	16	505	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
507	507	507	507	507	507	507	507	507	507	125	507	507	507	507	507	507	507	507	507	507	507	507	507	507	507	507	507	507	507	507	507	507
17	17	17	17	17	17	17	17	17	18	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
126	126	126	126	126	126	126	126	126	17	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126
19	19	19	127	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19
3	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106
