-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-102	-100	-100	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	-100	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-102	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
3	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	3	-2	-2	-2	-102	-2	4	3	-2	-2	-2	-2	-2	-2	-2	3	3	3	3	3	3	3	-2	3	3	-2	-2	3	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
5	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	6	-3	-3	-3	-102	-3	5	6	-3	-3	-3	-3	-3	-3	-3	5	6	5	5	5	5	5	-3	5	5	-3	-3	6	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
7	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	16	-4	-4	-4	-102	-4	-4	16	-4	-4	-4	-4	-4	-4	-4	8	16	10	9	11	12	14	-4	15	13	-4	-4	16	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-102	-5	17	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-102	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	18	-6	-6	-6	-6	-6	-6	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	19	-7	-7	-102	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	20	-7	-7	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-102	-8	-8	-8	-8	-8	21	22	23	24	25	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	26	-9	-9	-9	-9	-9	-102	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	28	-10	27	-10	-10	-102	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
29	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-102	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
32	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-102	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	30	-13	-13	31	-13	-13	-102	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	-13	31	-13	-13	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
33	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-102	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
